region,cases,deaths,recovered
USA,6553538,195318,3846772
India,4494389,75328,3490908
Brazil,4199332,128653,3453336
Russia,1046370,18263,862373
Peru,702776,30236,536959
Colombia,686856,22053,552885
Mexico,647507,69095,454982
South Africa,642431,15168,569935
Spain,543379,29628,N/A
Argentina,512293,10713,390098
Chile,428669,11781,401356
Iran,395488,22798,340842
UK,355219,41594,N/A
France,344101,30794,88524
Bangladesh,332970,4634,233550
Saudi Arabia,323720,4189,299998
Pakistan,299855,6365,287950
Turkey,284943,6837,254188
Italy,281583,35577,211272
Iraq,278418,7814,213817
Germany,256835,9412,231900
Philippines,248947,4066,186058
Indonesia,207203,8456,147510
Ukraine,145612,3023,65877
Israel,143049,1055,109775
Canada,134464,9156,118271
Bolivia,123345,7146,77216
Qatar,121052,205,117978
Ecuador,112166,10701,91242
Kazakhstan,106584,1634,100248
Dominican Republic,100937,1914,74305
Egypt,100403,5577,80689
Romania,99684,4065,41010
Panama,99042,2116,71419
Kuwait,92822,556,83040
Belgium,89691,9917,18635
Oman,88337,762,83325
Sweden,86194,5843,N/A
Guatemala,79622,2897,68308
Netherlands,78511,6249,N/A
Morocco,77878,1453,59723
UAE,76911,398,67945
Belarus,73591,732,72203
Japan,72726,1393,64100
Poland,72453,2159,58069
Honduras,65597,2044,15064
Portugal,62126,1852,43441
Ethiopia,61700,966,23054
Bahrain,57450,206,51819
Singapore,57229,27,56492
Venezuela,56751,452,45318
Nigeria,55632,1070,43610
Costa Rica,51224,543,19544
Nepal,50465,317,35700
Algeria,47216,1581,33379
Switzerland,45711,2020,38100
Uzbekistan,45473,370,42509
Armenia,45326,906,41233
Ghana,45313,283,44188
Kyrgyzstan,44684,1061,40487
Moldova,41704,1106,28962
Afghanistan,38572,1420,31129
Azerbaijan,37874,556,35269
Kenya,35460,607,21557
Serbia,32136,729,30943
Austria,31247,748,26043
Czechia,31036,444,20374
Ireland,30164,1781,23364
Palestine,28664,198,18821
El Salvador,26688,774,17106
Australia,26513,788,23036
Paraguay,25026,474,12309
Bosnia and Herzegovina,22544,680,15273
Lebanon,21877,212,7024
