region,cases,deaths,recovered
USA,6055672,185051,3349076
Brazil,3764493,118726,2947250
India,3403555,61857,2596273
Russia,980405,16914,798466
Peru,621997,28277,429662
South Africa,618286,13628,531338
Colombia,582022,18468,417793
Mexico,579914,62594,400479
Spain,451792,28996,N/A
Chile,404102,11072,377922
Argentina,380292,8129,280165
Iran,369911,21249,318270
UK,330368,41477,N/A
Saudi Arabia,312924,3813,287403
Bangladesh,306794,4174,196836
Pakistan,295053,6283,279937
Turkey,263998,6209,240792
Italy,263949,35463,206554
France,259698,30576,85984
Germany,241257,9360,215495
Iraq,219435,6740,161009
Philippines,209544,3325,134474
Indonesia,165887,7169,120900
Canada,126848,9102,112825
Qatar,118196,196,115017
Ukraine,114497,2451,55083
Bolivia,113129,4791,52521
Israel,111493,891,90158
Ecuador,111219,6471,95202
Kazakhstan,105408,1523,95253
Egypt,98062,5342,69612
Dominican Republic,92964,1630,64347
Panama,89982,1948,63996
Oman,85005,650,79608
Romania,84468,3507,37056
Sweden,83958,5821,N/A
Kuwait,83578,525,75320
Belgium,83500,9884,18360
Guatemala,71856,2685,59641
Belarus,71346,667,69887
Netherlands,69131,6220,N/A
UAE,68901,379,59861
Poland,65480,2018,44785
Japan,64668,1226,52823
Honduras,57669,1803,9586
Morocco,57085,1011,41901
Portugal,57074,1815,41556
Singapore,56666,27,55139
Nigeria,53317,1011,40726
Bahrain,50756,189,47370
Ethiopia,46407,745,16829
Ghana,43841,270,42246
Kyrgyzstan,43587,1057,37726
Armenia,43451,869,37264
Algeria,43016,1475,30157
Venezuela,42898,358,34147
Switzerland,41346,2004,34800
Uzbekistan,40720,302,37873
Afghanistan,38140,1402,29059
Costa Rica,37292,397,14471
Nepal,36456,195,20242
Azerbaijan,35844,524,33364
Moldova,35546,977,24156
Kenya,33630,567,19434
Serbia,31207,709,29802
Ireland,28453,1777,23364
Austria,26590,733,22594
Australia,25448,583,20633
El Salvador,25415,702,13570
Czechia,23300,418,17190
Palestine,21251,143,14291
Bosnia and Herzegovina,19214,591,12733
Cameroon,19142,411,17651
S. Korea,19077,316,14551
Ivory Coast,17702,115,16139
Denmark,16700,624,14877
Bulgaria,15908,594,11044
Paraguay,15290,265,8348
Lebanon,14937,146,4133
Madagascar,14696,187,13709
North Macedonia,14163,590,10933
Senegal,13384,279,9091
Sudan,13045,823,6594
Libya,12629,226,1310
Zambia,11779,283,10945
Norway,10542,264,9348
DRC,9994,255,9035
Croatia,9549,180,6809
Greece,9531,254,3804
Malaysia,9306,125,9030
Guinea,9213,58,8180
Albania,9083,266,4791
French Guiana,8982,58,8508
Tajikistan,8481,68,7276
Gabon,8468,53,7066
Haiti,8151,200,5743
Finland,8042,335,7200
Luxembourg,7928,124,7140
Maldives,7329,28,4691
Mauritania,6993,158,6381
Namibia,6712,60,2776
Zimbabwe,6292,189,5010
Hungary,5511,614,3759
Malawi,5496,173,3121
Djibouti,5383,60,5307
Equatorial Guinea,4928,83,3798
Hong Kong,4769,84,4249
CAR,4698,61,1782
Montenegro,4558,89,3606
Nicaragua,4494,137,2913
Eswatini,4433,89,3115
Congo,3979,78,1742
Cuba,3866,92,3222
Suriname,3793,66,2893
Slovakia,3728,33,2225
