region,cases,deaths,recovered
USA,4918770,160318,2482899
Brazil,2808076,96096,1970767
India,1910681,39856,1282917
Russia,866627,14490,669026
South Africa,521318,8884,363751
Mexico,449961,48869,300254
Peru,439890,20007,302457
Chile,362962,9745,336330
Spain,349894,28498,N/A
Colombia,334979,11315,180258
Iran,314786,17617,272535
UK,306293,46299,N/A
Saudi Arabia,281456,2984,243713
Pakistan,281136,6014,254286
Italy,248419,35171,200766
Bangladesh,246674,3267,141750
Turkey,234934,5765,218491
Argentina,213535,3979,94129
Germany,213080,9239,194700
France,192334,30296,82166
Iraq,134722,5017,96103
Canada,117792,8958,102450
Indonesia,116871,5452,73889
Philippines,115980,2123,66270
Qatar,111538,177,108254
Kazakhstan,94882,1058,67031
Egypt,94752,4912,45569
Ecuador,87963,5808,70985
Bolivia,83361,3320,25390
Sweden,81181,5747,N/A
Oman,79159,421,61421
Israel,76763,564,51331
Ukraine,75490,1788,41527
Dominican Republic,74295,1213,38824
Belgium,70648,9852,17639
Panama,69424,1522,43330
Kuwait,68774,465,60326
Belarus,68250,574,63163
UAE,61352,351,55090
Netherlands,55955,6150,N/A
Romania,55241,2480,28006
Singapore,54254,27,47454
Guatemala,52365,2037,40285
Portugal,51681,1739,37318
Poland,48789,1756,35321
Nigeria,44433,910,31851
Honduras,44299,1400,5921
Bahrain,42132,153,39335
Japan,39858,1016,27197
Armenia,39586,770,30850
Kyrgyzstan,38110,1438,29513
Ghana,37812,191,34313
Afghanistan,36829,1294,25742
Switzerland,35746,1981,31600
Azerbaijan,32910,473,28348
Algeria,32504,1248,22375
Uzbekistan,27314,167,18051
Morocco,27217,417,19629
Serbia,26738,605,14047
Ireland,26253,1763,23364
Moldova,25814,810,18167
Kenya,23202,388,9327
Austria,21566,719,19464
Venezuela,21438,187,11875
Nepal,21009,58,15026
Ethiopia,19877,343,8240
Costa Rica,19837,181,6590
Australia,19444,247,10799
El Salvador,18701,498,9111
Cameroon,17718,391,15320
Czechia,17286,383,11812
Ivory Coast,16293,103,11955
S. Korea,14456,302,13406
Denmark,14073,616,12715
Bosnia and Herzegovina,12856,373,6592
Palestine,12770,88,6419
Bulgaria,12414,415,6964
Madagascar,11895,123,9286
Sudan,11780,763,6194
North Macedonia,11202,505,7108
Senegal,10432,214,6920
Norway,9362,256,8752
DRC,9178,215,7727
Malaysia,9023,125,8702
French Guiana,7998,45,6873
Gabon,7646,51,5408
Tajikistan,7583,61,6356
Haiti,7532,171,4832
Finland,7512,331,6950
Guinea,7489,48,6591
Luxembourg,6917,118,5537
Zambia,6793,173,5109
Mauritania,6418,157,5209
Paraguay,5852,59,4645
Albania,5750,176,3054
Croatia,5318,154,4517
Lebanon,5271,65,1837
Djibouti,5248,59,5044
Greece,4855,209,1374
Equatorial Guinea,4821,83,2182
CAR,4618,59,1640
Hungary,4564,599,3431
Maldives,4446,19,2693
Malawi,4361,128,2047
Libya,4224,96,633
Zimbabwe,4221,81,1238
Nicaragua,3902,123,2913
Hong Kong,3755,43,2314
Congo,3546,58,1589
Montenegro,3361,53,1869
Thailand,3328,58,3142
Somalia,3220,93,1598
Mayotte,3023,39,2738
Eswatini,2856,49,1258
Sri Lanka,2834,11,2537
Cuba,2701,88,2382
Cabo Verde,2631,26,1930
Mali,2543,124,1946
Namibia,2470,12,211
South Sudan,2437,47,1175
Slovakia,2417,29,1777
Slovenia,2208,124,1884
Lithuania,2147,81,1650
Estonia,2113,63,1948
Rwanda,2099,5,1222
Mozambique,2029,15,765
Guinea-Bissau,1981,27,803
Suriname,1981,27,1278
Iceland,1918,10,1825
Benin,1914,38,1036
Sierra Leone,1855,67,1397
Yemen,1760,506,863
Tunisia,1584,51,1227
New Zealand,1569,22,1523
Angola,1344,59,503
Uruguay,1300,37,1048
Latvia,1257,32,1070
Jordan,1224,11,1155
Liberia,1216,78,698
Uganda,1203,5,1073
Georgia,1197,17,974
Cyprus,1180,19,856
Burkina Faso,1153,54,947
Niger,1152,69,1037
Togo,988,19,673
Andorra,939,52,825
Chad,938,75,814
Jamaica,920,12,745
Syria,892,46,283
Malta,890,9,666
Sao Tome and Principe,875,15,794
Botswana,804,2,63
Lesotho,726,21,174
Bahamas,715,14,91
Diamond Princess,712,13,651
San Marino,699,42,657
Vietnam,672,8,378
Gambia,671,14,79
Réunion,669,4,592
Channel Islands,595,47,533
Tanzania,509,21,183
Guyana,497,22,186
Taiwan,476,7,443
Burundi,395,1,304
Comoros,388,7,340
Myanmar,356,6,302
Mauritius,344,10,334
Isle of Man,336,24,312
Mongolia,293,NA,244
Eritrea,282,NA,225
Guadeloupe,272,14,179
Martinique,269,15,98
Cambodia,243,NA,202
Faeroe Islands,227,NA,192
Cayman Islands,203,1,202
Trinidad and Tobago,194,8,135
Gibraltar,189,NA,183
Bermuda,157,9,144
Sint Maarten,150,16,64
Brunei,141,3,138
Barbados,132,7,98
Aruba,132,3,112
Monaco,123,4,105
Turks and Caicos,116,2,38
Papua New Guinea,114,2,34
Seychelles,114,NA,113
Bhutan,105,NA,93
Antigua and Barbuda,92,3,75
Liechtenstein,89,1,85
Belize,72,2,31
French Polynesia,64,NA,62
St. Vincent Grenadines,55,NA,45
Saint Martin,53,3,41
Macao,46,NA,46
Curaçao,29,1,24
Fiji,27,1,18
Saint Lucia,25,NA,22
Timor-Leste,25,NA,24
Grenada,24,NA,23
New Caledonia,22,NA,22
Laos,20,NA,19
Dominica,18,NA,18
Saint Kitts and Nevis,17,NA,16
Greenland,14,NA,13
Montserrat,13,1,10
Caribbean Netherlands,13,NA,7
Falkland Islands,13,NA,13
Vatican City,12,NA,12
Western Sahara,10,1,8
MS Zaandam,9,2,NA
St. Barth,9,NA,6
British Virgin Islands,8,1,7
Saint Pierre Miquelon,4,NA,1
Anguilla,3,NA,3
China,84491,4634,79047
Total:,5783288,225490,3042039
Total:,4369845,150647,3006234
Total:,4618297,102556,3447396
Total:,2951628,204663,1776522
Total:,982219,21143,655407
Total:,21240,272,12458
Total:,721,15,651
Total:,18727238,704786,11940707
