region,cases,deaths,recovered
USA,5216313,165815,2673846
Brazil,3039349,101269,2118460
India,2266954,45352,1580269
Russia,892654,15001,696681
South Africa,559859,10408,411474
Mexico,480278,52298,322465
Peru,478024,21072,324020
Colombia,387481,12842,212688
Chile,375044,10139,347342
Spain,361442,28503,N/A
Iran,328844,18616,286642
UK,311641,46526,N/A
Saudi Arabia,289947,3199,253478
Pakistan,284660,6097,260764
Bangladesh,260507,3438,150437
Italy,250825,35209,202248
Argentina,246499,4634,108242
Turkey,240804,5844,223759
Germany,217330,9260,197900
France,197921,30324,82836
Iraq,153599,5464,109790
Philippines,136638,2294,68159
Indonesia,127083,5765,82236
Canada,119723,8982,105986
Qatar,113262,188,109993
Kazakhstan,99442,1058,72523
Egypt,95492,5009,52678
Ecuador,94701,5932,78608
Bolivia,89999,3640,29808
Israel,84381,612,58986
Sweden,82972,5766,N/A
Ukraine,81957,1922,44359
Oman,81787,521,76124
Dominican Republic,80499,1328,44910
Panama,74492,1639,48748
Belgium,74152,9872,17780
Kuwait,72400,482,64028
Belarus,68947,589,64991
Romania,62547,2729,30311
UAE,62525,357,56568
Netherlands,59194,6157,N/A
Guatemala,56605,2211,44598
Singapore,55292,27,49609
Portugal,52825,1759,38600
Poland,52410,1809,36877
Honduras,47454,1495,6597
Japan,46783,1040,32312
Nigeria,46577,945,33186
Bahrain,44011,163,40967
Ghana,41003,215,38330
Armenia,40433,796,32616
Kyrgyzstan,40085,1474,32126
Afghanistan,37162,1328,26228
Switzerland,36708,1987,32300
Algeria,35712,1312,24920
Morocco,34063,516,24524
Azerbaijan,33647,492,30642
Uzbekistan,31068,198,22559
Serbia,28262,646,18965
Moldova,27841,850,19300
Kenya,26928,423,13495
Ireland,26768,1772,23364
Venezuela,25805,223,13356
Ethiopia,23591,420,10411
Nepal,23310,79,16493
Costa Rica,23286,235,7730
Austria,22106,723,20010
Australia,21407,314,11876
El Salvador,20872,563,9720
Czechia,18454,390,12983
Cameroon,18042,395,15320
Ivory Coast,16715,105,12926
Denmark,14815,620,12925
S. Korea,14626,305,13658
Palestine,14510,100,8045
Bosnia and Herzegovina,14498,425,8159
Bulgaria,13396,447,7772
Madagascar,13202,151,11011
Sudan,11956,781,6266
North Macedonia,11942,528,8087
Senegal,11312,236,7390
Norway,9661,256,8857
DRC,9489,224,8363
Malaysia,9094,125,8803
French Guiana,8267,48,7501
Zambia,8210,241,6802
Guinea,7930,50,6898
Gabon,7923,51,5704
Tajikistan,7827,62,6614
Haiti,7634,183,4982
Finland,7601,333,6980
Luxembourg,7216,121,6170
Paraguay,6907,75,5222
Lebanon,6812,80,2290
Albania,6536,200,3379
Mauritania,6523,157,5527
Greece,5749,213,3804
Croatia,5649,158,4906
Libya,5451,119,701
