region,cases,deaths,recovered
USA,7323655,209488,4561184
India,6087454,95678,5025815
Brazil,4732309,141776,4060088
Russia,1159573,20385,945920
Colombia,813056,25488,711472
Peru,805302,32262,664490
Spain,735198,31232,N/A
Mexico,730317,76430,523831
Argentina,711325,15749,565935
South Africa,670766,16398,603721
France,538569,31727,94891
Chile,457901,12641,431704
Iran,449960,25779,376531
UK,434969,41988,N/A
Bangladesh,360555,5193,272073
Iraq,353566,9052,284784
Saudi Arabia,333648,4712,317846
Turkey,314433,7997,275630
Pakistan,310841,6466,296022
Italy,309870,35835,224417
Philippines,307288,5381,252665
Germany,287269,9535,250800
Indonesia,278722,10473,206870
Israel,231026,1466,159931
Ukraine,201305,3996,88453
Canada,153825,9269,131429
Ecuador,134747,11279,112296
Bolivia,133901,7858,93791
Qatar,125311,214,122209
Romania,123944,4748,99344
Morocco,117685,2069,95591
Netherlands,114540,6380,N/A
Belgium,114179,9980,19275
Dominican Republic,111666,2098,86422
Panama,110555,2340,87215
Kazakhstan,107775,1699,102736
Kuwait,103981,605,95511
Egypt,102840,5883,95080
Oman,98057,924,88234
UAE,92095,413,81462
Sweden,90923,5880,N/A
Guatemala,90092,3229,78698
Poland,88636,2447,68420
Japan,81690,1545,74607
Belarus,77946,822,74167
Honduras,75109,2289,26374
Nepal,74745,481,54640
Portugal,74029,1957,47884
Ethiopia,73332,1170,30363
Venezuela,72691,606,62427
Costa Rica,72049,828,27760
Bahrain,69361,243,62887
Czechia,64597,606,31268
Nigeria,58324,1108,49794
Singapore,57715,27,57367
Uzbekistan,55776,460,52324
Switzerland,52646,2065,42700
Algeria,51067,1714,35860
Moldova,50875,1287,37842
Armenia,49574,957,43665
Ghana,46387,299,45618
Kyrgyzstan,46355,1064,42613
Austria,43432,790,34052
Azerbaijan,40061,588,37725
Afghanistan,39233,1455,32642
Palestine,39121,299,30220
Paraguay,38684,803,22419
Kenya,38115,691,24621
Lebanon,36254,347,16089
Ireland,34990,1802,23364
Serbia,33414,748,31536
Libya,33213,527,18518
El Salvador,28809,831,23317
Denmark,27072,649,19942
Australia,27044,875,24676
Bosnia and Herzegovina,27001,829,20005
Hungary,24716,749,5152
S. Korea,23661,406,21292
Cameroon,20735,418,19440
Bulgaria,20055,796,14176
Ivory Coast,19629,120,19163
North Macedonia,17674,729,14642
Greece,17444,379,9989
Madagascar,16285,229,14922
Croatia,16245,272,14793
Tunisia,16114,214,5032
Senegal,14919,309,12231
Zambia,14660,332,13821
Norway,13741,274,11190
Sudan,13606,836,6764
Albania,13259,377,7534
Myanmar,11631,256,3073
Malaysia,11034,134,9889
Namibia,11033,120,8776
DRC,10624,271,10093
Guinea,10580,66,9892
Montenegro,10313,158,6456
Maldives,10098,34,8847
French Guiana,9863,65,9500
Finland,9743,345,7850
Tajikistan,9685,75,8483
Slovakia,9343,44,4213
Haiti,8740,227,6688
Gabon,8728,54,7934
Jordan,8492,45,4222
Luxembourg,8357,124,6976
Mozambique,7983,58,4807
Zimbabwe,7812,227,6106
Uganda,7777,75,4033
Mauritania,7464,161,7070
Jamaica,6017,89,1706
Cabo Verde,5771,57,5031
Malawi,5768,179,4206
Georgia,5552,32,2054
Cuba,5483,122,4787
Eswatini,5431,108,4821
Djibouti,5409,61,5340
Slovenia,5388,149,3600
Hong Kong,5076,105,4790
Nicaragua,5073,149,2913
Equatorial Guinea,5028,83,4740
Congo,5008,89,3887
Suriname,4835,102,4661
Rwanda,4820,29,3099
CAR,4806,62,1840
Angola,4718,174,1707
Lithuania,4490,92,2327
Guadeloupe,4487,42,2199
Trinidad and Tobago,4382,72,2275
Syria,4072,192,1062
Réunion,3882,14,2819
Aruba,3844,25,2948
Bahamas,3838,89,2005
Somalia,3588,99,2946
Gambia,3569,111,2161
Thailand,3545,59,3369
Mayotte,3541,40,2964
Sri Lanka,3360,13,3210
Estonia,3267,64,2513
Mali,3086,130,2420
Malta,3006,32,2399
Botswana,2921,16,701
Guyana,2772,76,1564
South Sudan,2686,49,1290
Iceland,2663,10,2161
Benin,2340,40,1960
Guinea-Bissau,2324,39,1549
Sierra Leone,2215,72,1681
Yemen,2030,587,1266
Burkina Faso,2008,56,1276
Uruguay,2008,47,1728
Andorra,1966,53,1265
Belize,1854,24,1196
New Zealand,1833,25,1753
Togo,1743,46,1330
Latvia,1697,36,1304
Cyprus,1696,22,1369
French Polynesia,1579,6,1335
Lesotho,1565,35,822
Liberia,1342,82,1221
Martinique,1290,20,98
Niger,1196,69,1107
Chad,1178,84,1005
Vietnam,1077,35,999
Sao Tome and Principe,911,15,883
San Marino,727,42,676
Diamond Princess,712,13,651
Turks and Caicos,682,5,620
Channel Islands,656,48,600
Sint Maarten,644,22,532
Papua New Guinea,532,7,516
Taiwan,513,7,480
Tanzania,509,21,183
Burundi,485,1,472
Comoros,478,7,458
Faeroe Islands,460,NA,423
Saint Martin,383,8,273
Gibraltar,382,NA,341
Eritrea,375,NA,341
Mauritius,367,10,343
Curaçao,366,1,148
Isle of Man,340,24,314
Mongolia,313,NA,305
Cambodia,276,NA,275
Bhutan,273,NA,210
Monaco,210,2,169
Cayman Islands,210,1,207
Barbados,190,7,178
Bermuda,181,9,167
Brunei,146,3,142
Seychelles,143,NA,140
Liechtenstein,117,1,110
Antigua and Barbuda,101,3,92
Caribbean Netherlands,85,1,21
British Virgin Islands,71,1,62
St. Vincent Grenadines,64,NA,64
St. Barth,48,NA,25
Macao,46,NA,46
Fiji,32,2,28
Dominica,30,NA,24
New Caledonia,27,NA,26
Saint Lucia,27,NA,27
Timor-Leste,27,NA,27
Grenada,24,NA,24
Laos,23,NA,22
Saint Kitts and Nevis,19,NA,17
Saint Pierre Miquelon,16,NA,6
Greenland,14,NA,14
Montserrat,13,1,12
Falkland Islands,13,NA,13
Vatican City,12,NA,12
Western Sahara,10,1,8
MS Zaandam,9,2,NA
Anguilla,3,NA,3
China,85372,4634,80553
Total:,8744256,307720,5575561
Total:,10332595,190157,8619083
Total:,7919407,248752,6742088
Total:,4871248,220488,2495347
Total:,1468899,35228,1214001
Total:,31047,915,28334
Total:,721,15,651
Total:,33368173,1003275,24675065
