region,cases,deaths,recovered
USA,4498343,152320,2185894
Brazil,2484649,88634,1721560
India,1533936,34240,989624
Russia,823515,13504,612217
South Africa,459761,7257,287313
Mexico,402697,44876,261457
Peru,395005,18612,276452
Chile,349800,9240,322332
Spain,327690,28436,N/A
UK,300692,45878,N/A
Iran,296273,16147,257019
Pakistan,276288,5892,244883
Saudi Arabia,270831,2789,225624
Colombia,267385,9074,136690
Italy,246488,35123,198756
Bangladesh,229185,3000,127414
Turkey,227982,5645,211561
Germany,207951,9207,192000
France,183804,30223,81311
Argentina,173355,3179,75083
Iraq,115332,4535,81062
Canada,114994,8912,100134
Qatar,109880,167,106603
Indonesia,102051,4901,60539
Egypt,92947,4691,35959
Kazakhstan,86192,793,56638
Philippines,83673,1947,26617
Ecuador,82279,5584,35283
Sweden,79494,5702,N/A
Oman,77904,402,58587
Bolivia,72327,2720,21971
Belarus,67366,543,60669
Belgium,66662,9833,17476
Ukraine,66575,1629,36744
Israel,66293,486,32182
Kuwait,65149,442,55681
Dominican Republic,64690,1101,32014
Panama,62223,1349,36181
UAE,59546,347,52905
Netherlands,53374,6145,N/A
Singapore,51197,27,45893
Portugal,50410,1722,35626
Romania,47053,2239,26128
Guatemala,46451,1782,33494
Poland,43904,1682,33043
Nigeria,41804,868,18764
Honduras,40460,1214,5103
Bahrain,39921,141,36531
Armenia,37629,719,27357
Afghanistan,36368,1270,25358
Switzerland,34609,1978,31000
Kyrgyzstan,34592,1347,22296
Ghana,34406,168,30621
Japan,30961,998,22811
Azerbaijan,30858,430,23873
Algeria,28615,1174,19233
Ireland,25929,1764,23364
Serbia,24520,551,14047
Moldova,23521,753,16462
Uzbekistan,22169,127,12265
Morocco,21387,327,17066
Austria,20677,713,18379
Nepal,19063,49,13875
Kenya,18581,299,7908
Cameroon,17179,391,14539
Venezuela,16571,151,10195
Costa Rica,16344,125,3920
Czechia,15799,374,11428
Ivory Coast,15713,98,10537
Australia,15580,176,9431
El Salvador,15446,417,7903
Ethiopia,15200,239,6526
S. Korea,14251,300,13069
Denmark,13577,613,12451
Sudan,11496,725,6001
Palestine,10938,79,3752
Bulgaria,10871,355,5766
Bosnia and Herzegovina,10766,297,5220
North Macedonia,10315,471,5663
Madagascar,10104,93,6613
Senegal,9805,198,6591
Norway,9150,255,8752
Malaysia,8943,124,8607
DRC,8873,208,5930
French Guiana,7562,43,6106
Finland,7404,329,6920
Haiti,7371,158,4467
Tajikistan,7276,60,6065
Gabon,7189,49,4682
Guinea,7126,46,6312
Luxembourg,6375,113,4855
Mauritania,6249,156,4683
Djibouti,5068,58,4992
Zambia,5002,142,3195
Albania,4997,148,2789
Croatia,4923,140,4034
Paraguay,4674,45,3039
CAR,4599,59,1546
Hungary,4456,596,3331
Greece,4279,203,1374
Lebanon,4023,54,1710
Malawi,3709,103,1667
Nicaragua,3672,116,2492
Maldives,3506,15,2547
Thailand,3298,58,3111
Somalia,3212,93,1562
Congo,3200,54,829
Equatorial Guinea,3071,51,842
Libya,3017,67,579
Montenegro,2949,45,839
Mayotte,2900,38,2672
Hong Kong,2885,23,1527
Zimbabwe,2817,40,604
Sri Lanka,2810,11,2296
Cuba,2555,87,2352
Mali,2520,124,1919
Eswatini,2404,39,1025
