region,cases,deaths,recovered
USA,6749406,199018,4028602
India,4930236,80808,3859399
Brazil,4349544,132117,3613184
Russia,1073849,18785,884305
Peru,733860,30812,573364
Colombia,721892,23123,606925
Mexico,671716,71049,475795
South Africa,650749,15499,579289
Spain,593730,29848,N/A
Argentina,565446,11667,428953
Chile,436433,12013,407725
Iran,407353,23453,349984
France,387252,30950,89507
UK,371125,41637,N/A
Bangladesh,341056,4802,245594
Saudi Arabia,326258,4305,303930
Pakistan,302424,6389,290261
Iraq,294478,8086,229132
Turkey,292878,7119,260058
Italy,288761,35624,213950
Philippines,269407,4663,207352
Germany,263407,9437,237550
Indonesia,225030,8965,161065
Israel,162273,1141,120443
Ukraine,159702,3264,69543
Canada,138010,9179,121224
Bolivia,127619,7394,85198
Qatar,121975,207,118931
Ecuador,118911,10922,97063
Kazakhstan,106920,1634,100836
Romania,105298,4236,43244
Dominican Republic,104110,1984,77790
Panama,102204,2173,74782
Egypt,101177,5661,84969
Kuwait,95472,563,85501
Belgium,94306,9927,18737
Oman,90660,797,84113
Morocco,88203,1614,68970
Sweden,86505,5846,N/A
Netherlands,83399,6256,N/A
Guatemala,82172,2972,71352
UAE,80266,399,69981
Japan,75657,1442,67242
Poland,75134,2227,61548
Belarus,74360,756,72609
Honduras,68620,2087,18487
Ethiopia,64786,1022,25333
Portugal,64596,1871,44185
Venezuela,61569,494,49371
Bahrain,60965,213,54204
Singapore,57488,27,56802
Costa Rica,57361,621,21206
Nepal,56788,371,40638
Nigeria,56388,1083,44337
Algeria,48496,1620,34204
Uzbekistan,48192,400,44526
Switzerland,47751,2025,39600
Armenia,46119,920,41941
Ghana,45601,294,44679
Kyrgyzstan,44999,1063,41103
Moldova,43207,1129,30437
Afghanistan,38815,1426,32098
Azerbaijan,38403,564,35860
Czechia,37222,465,22020
Kenya,36205,624,23243
Austria,34305,757,27354
Serbia,32437,733,31285
Palestine,31362,226,21406
Ireland,31192,1784,23364
Paraguay,28367,539,14814
El Salvador,27088,792,19450
Australia,26739,816,23652
Lebanon,24857,246,8765
Bosnia and Herzegovina,23929,725,16701
Libya,23515,368,12762
S. Korea,22391,367,18878
Denmark,20237,633,16437
Cameroon,20228,415,18837
Ivory Coast,19066,120,18174
Bulgaria,18061,729,12930
North Macedonia,15827,652,13315
Madagascar,15803,214,14452
Senegal,14529,298,10692
Hungary,13879,646,4130
Croatia,13749,230,11412
Zambia,13720,320,12380
Sudan,13535,836,6759
Greece,13420,310,3804
Norway,12276,265,10371
Albania,11520,338,6615
DRC,10390,264,9807
Guinea,10061,63,9352
Malaysia,9969,128,9209
Namibia,9818,103,6693
French Guiana,9552,63,9156
Maldives,9243,33,7536
Tajikistan,9088,72,7853
Finland,8725,337,7500
Gabon,8654,53,7785
Haiti,8499,219,6120
Zimbabwe,7531,224,5690
Tunisia,7382,117,2175
Mauritania,7295,161,6835
Luxembourg,7244,124,6555
Montenegro,6900,121,4589
Slovakia,5768,38,3214
Malawi,5697,178,3742
Mozambique,5482,35,3024
Djibouti,5396,61,5331
Eswatini,5104,101,4374
Equatorial Guinea,5000,83,4496
Uganda,4978,56,2317
Hong Kong,4976,102,4646
Congo,4934,88,3887
Cabo Verde,4839,45,4240
Nicaragua,4818,144,2913
CAR,4772,62,1828
Cuba,4726,108,4040
Suriname,4611,95,3935
Rwanda,4602,22,2736
Jamaica,3933,44,1161
Slovenia,3831,135,2789
Syria,3576,157,858
Jordan,3528,26,2255
Thailand,3480,58,3315
Angola,3439,136,1324
Gambia,3405,103,1723
Lithuania,3397,87,2094
Somalia,3389,98,2803
Mayotte,3374,40,2964
Myanmar,3299,32,790
Sri Lanka,3262,13,3005
Trinidad and Tobago,3141,55,787
Guadeloupe,3080,24,837
Aruba,3060,20,1566
Bahamas,3008,68,1391
Mali,2935,128,2289
Réunion,2872,15,1313
Estonia,2722,64,2286
South Sudan,2587,49,1290
Georgia,2562,19,1369
Botswana,2463,11,575
Malta,2454,16,1931
Guinea-Bissau,2275,39,1127
Benin,2267,40,1942
Iceland,2168,10,2095
Sierra Leone,2111,72,1636
Yemen,2013,583,1215
Guyana,1884,56,1265
Uruguay,1812,45,1528
New Zealand,1801,24,1694
Burkina Faso,1717,56,1137
Togo,1578,40,1204
Cyprus,1534,22,1282
Belize,1501,19,540
Latvia,1482,35,1248
Andorra,1438,53,945
Liberia,1321,82,1213
Lesotho,1245,33,528
Niger,1180,69,1104
French Polynesia,1099,2,672
Chad,1085,81,940
Vietnam,1063,35,926
Martinique,939,18,98
Sao Tome and Principe,906,15,870
San Marino,722,42,662
Diamond Princess,712,13,651
Turks and Caicos,648,5,532
Channel Islands,633,48,575
Sint Maarten,549,19,430
Papua New Guinea,511,6,232
Tanzania,509,21,183
Taiwan,499,7,476
Burundi,472,1,374
