region,cases,deaths,recovered
USA,6515538,194075,3797556
India,4382518,74028,3406270
Brazil,4165124,127517,3397234
Russia,1041007,18135,856458
Peru,696190,30123,529751
Colombia,679513,21817,541462
Mexico,642860,68484,451159
South Africa,640441,15086,567729
Spain,534513,29594,N/A
Argentina,500034,10457,382490
Chile,425541,11682,397730
Iran,393425,22669,339111
UK,352560,41586,N/A
France,335524,30764,88226
Bangladesh,331078,4593,230804
Saudi Arabia,323012,4165,298966
Pakistan,299659,6359,286506
Turkey,283270,6782,253245
Italy,280153,35563,210801
Iraq,269578,7657,206324
Germany,255041,9409,230600
Philippines,245143,3986,185543
Indonesia,203342,8336,145200
Ukraine,143030,2979,64703
Israel,139013,1048,107599
Canada,133748,9153,117565
Bolivia,122308,7097,75098
Qatar,120579,205,117497
Ecuador,110757,10627,91242
Kazakhstan,106498,1634,100042
Egypt,100228,5560,79886
Dominican Republic,100131,1889,73795
Panama,98407,2107,70751
Romania,98304,4018,41002
Kuwait,92082,552,82222
Belgium,89141,9912,18602
Oman,87939,751,83115
Sweden,85880,5842,N/A
Guatemala,78721,2890,67462
Netherlands,77688,6246,N/A
UAE,75981,393,67359
Morocco,75721,1427,57239
Belarus,73402,726,71999
Japan,72234,1377,63282
Poland,71947,2147,57135
Honduras,65218,2034,14273
Portugal,61541,1849,43284
Ethiopia,60784,949,22677
Singapore,57166,27,56461
Bahrain,56778,202,51574
Venezuela,55563,444,44435
Nigeria,55456,1067,43334
Costa Rica,49897,531,19285
Nepal,49219,312,33882
Algeria,46938,1571,33183
Switzerland,45306,2019,38100
Ghana,45188,283,44042
Armenia,45152,905,41023
Uzbekistan,44781,364,42162
Kyrgyzstan,44613,1061,40336
Moldova,40556,1087,28578
Afghanistan,38544,1420,31048
Azerbaijan,37732,555,35119
Kenya,35356,599,21483
Serbia,32078,728,30780
Austria,30583,747,25764
Ireland,30080,1778,23364
Czechia,29877,441,20164
Palestine,27919,192,18466
El Salvador,26602,770,16786
Australia,26465,781,22863
Paraguay,24214,463,11920
Bosnia and Herzegovina,22258,675,15208
S. Korea,21588,344,17023
Lebanon,21324,207,6722
Libya,20462,324,2329
Cameroon,19848,415,18448
Ivory Coast,18778,119,17688
Denmark,18607,628,15990
Bulgaria,17313,692,12297
Madagascar,15520,206,14243
North Macedonia,15293,634,12754
Senegal,14102,293,10176
Sudan,13437,833,6730
Zambia,13112,300,11839
Croatia,12626,206,9833
Greece,11832,290,3804
Norway,11623,264,9348
Albania,10553,321,6239
DRC,10324,260,9523
Guinea,9848,63,9009
Hungary,9715,628,3984
Malaysia,9583,128,9143
French Guiana,9387,62,8946
Namibia,8928,91,3981
Tajikistan,8860,70,7650
Maldives,8741,29,6157
Gabon,8608,53,7533
Finland,8430,337,7350
Haiti,8376,214,5991
Zimbabwe,7388,218,5477
