region,cases,deaths,recovered
USA,5573154,173186,2924174
Brazil,3340197,107879,2432456
India,2684314,51685,1939454
Russia,927745,15740,736101
South Africa,587345,11839,472377
Peru,535946,26281,365367
Mexico,522162,56757,355101
Colombia,468332,15097,287436
Chile,387502,10513,360385
Spain,358843,28617,N/A
Iran,345450,19804,299157
UK,319197,41369,N/A
Saudi Arabia,299914,3436,268385
Argentina,294569,5703,211702
Pakistan,289215,6175,269087
Bangladesh,279144,3694,160591
Italy,254235,35400,203968
Turkey,249309,5974,230969
Germany,225696,9292,202900
France,218536,30410,83848
Iraq,176931,5860,125374
Philippines,164474,2681,112759
Indonesia,141370,6207,94458
Canada,122186,9026,108567
Qatar,115368,193,112088
Kazakhstan,103033,1269,82777
Ecuador,101542,6070,87022
Bolivia,100344,4058,36491
Egypt,96475,5160,59743
Israel,93691,690,69062
Ukraine,92820,2089,48164
Dominican Republic,86309,1453,52905
Sweden,85045,5787,N/A
Oman,83226,588,77812
Panama,81940,1767,55001
Belgium,78323,9939,17994
Kuwait,76827,502,68633
Romania,71194,3029,32759
Belarus,69589,613,67149
UAE,64541,364,57794
Netherlands,63484,6172,N/A
Guatemala,62944,2389,51530
Poland,57279,1885,39359
Singapore,55838,27,51953
Japan,54714,1088,40080
Portugal,54234,1779,39800
Honduras,50502,1575,7339
Nigeria,49068,975,36497
Bahrain,46835,172,43128
Ghana,42653,239,40567
Morocco,42489,658,29344
Kyrgyzstan,41991,1496,34537
Armenia,41701,824,34655
Algeria,38583,1370,27017
Switzerland,38252,1991,33300
Afghanistan,37599,1375,27166
Uzbekistan,35513,234,30973
Azerbaijan,34343,508,32042
Venezuela,33755,281,22700
Moldova,30377,908,21220
Kenya,30365,482,17160
Ethiopia,29876,528,12359
Serbia,29782,677,27208
Costa Rica,28465,294,9062
Ireland,27257,1774,23364
Nepal,27241,107,17495
Australia,23559,421,14539
Austria,23534,729,20765
El Salvador,22912,618,10814
Czechia,20012,397,13799
Cameroon,18469,401,16540
Ivory Coast,17026,110,13947
Palestine,16844,110,9838
Bosnia and Herzegovina,16111,486,9856
Denmark,15740,621,13417
S. Korea,15515,305,13917
Bulgaria,14365,498,9186
Madagascar,13886,171,12603
North Macedonia,12840,547,9174
Sudan,12410,803,6385
Senegal,12237,256,7728
Norway,10035,261,8857
Paraguay,9791,138,6034
DRC,9706,243,8705
Zambia,9343,260,8412
Malaysia,9212,125,8876
Lebanon,8881,103,2724
French Guiana,8588,53,7893
Guinea,8482,51,7364
Gabon,8225,51,6277
Libya,8172,153,933
Tajikistan,8065,64,6855
Haiti,7879,196,5235
Finland,7752,334,7050
Luxembourg,7458,123,6500
Albania,7380,228,3794
Greece,7222,230,3804
Mauritania,6701,157,5985
Croatia,6656,166,5254
Maldives,5785,22,3349
Djibouti,5369,59,5202
Zimbabwe,5261,132,2092
Malawi,5072,161,2626
Hungary,4946,608,3630
Equatorial Guinea,4821,83,2182
CAR,4652,61,1728
Hong Kong,4525,69,3599
Namibia,4344,36,2379
Nicaragua,4115,128,2913
Montenegro,4035,77,2910
Eswatini,3839,70,2268
Congo,3831,76,1625
Thailand,3378,58,3194
Cuba,3316,88,2620
Somalia,3256,93,2374
Cabo Verde,3179,35,2317
Mayotte,3119,39,2940
Suriname,3016,47,2036
Slovakia,2907,31,1969
Sri Lanka,2895,11,2676
Mozambique,2855,19,1163
Mali,2640,125,1987
South Sudan,2489,47,1175
Rwanda,2453,8,1648
Lithuania,2436,81,1705
Slovenia,2429,129,2052
Estonia,2192,63,1976
Guinea-Bissau,2117,33,1015
Tunisia,2107,54,1358
Benin,2063,39,1690
Iceland,2014,10,1888
Sierra Leone,1956,69,1506
Angola,1906,88,628
Gambia,1872,63,401
Yemen,1869,530,1013
Syria,1677,64,417
New Zealand,1631,22,1531
Uganda,1560,15,1165
Uruguay,1440,38,1200
Jordan,1378,11,1236
Malta,1375,9,759
Georgia,1341,17,1092
Cyprus,1339,20,870
Latvia,1323,32,1078
Bahamas,1315,18,189
Burkina Faso,1267,55,1013
Liberia,1257,82,788
Botswana,1214,3,120
Niger,1167,69,1078
Togo,1147,27,843
Jamaica,1113,14,764
Aruba,1102,4,200
Andorra,989,53,863
