region,cases,deaths,recovered
USA,4764522,157901,2363001
Brazil,2708876,93616,1884051
India,1754117,37415,1148103
Russia,850870,14128,650173
South Africa,503290,8153,342461
Mexico,434193,47472,284847
Peru,422183,19408,290835
Chile,357658,9533,330507
Spain,335602,28445,N/A
Iran,306752,16982,265830
Colombia,306181,10330,160708
UK,303952,46193,N/A
Pakistan,279146,5970,248027
Saudi Arabia,277478,2887,237548
Italy,247832,35146,200229
Bangladesh,239860,3132,136253
Turkey,231869,5710,215516
Germany,211077,9226,193600
Argentina,196543,3596,86499
France,187919,30265,81500
Iraq,126704,4805,89275
Canada,116599,8941,101436
Qatar,110911,174,107578
Indonesia,109936,5193,67919
Philippines,98232,2039,65265
Egypt,94316,4834,41137
Kazakhstan,91593,793,61839
Ecuador,86232,5736,36213
Sweden,80422,5743,N/A
Oman,79159,421,61421
Bolivia,78793,3064,23968
Israel,72283,527,45629
Ukraine,72168,1725,39543
Dominican Republic,71415,1170,37509
Belgium,69402,9845,17573
Belarus,67946,563,62686
Kuwait,67448,453,58525
Panama,66383,1449,40081
UAE,60760,351,54255
Netherlands,54732,6148,N/A
Singapore,52825,27,46740
Romania,52111,2379,27346
Portugal,51310,1737,36783
Guatemala,50979,1959,37873
Poland,46346,1721,34374
Nigeria,43537,883,20087
Honduras,42685,1368,5694
Bahrain,41190,147,38211
Armenia,39050,754,29750
Ghana,37014,182,33365
Kyrgyzstan,36719,1409,27274
Afghanistan,36710,1283,25509
Japan,35836,1011,25506
Switzerland,35412,1981,31300
Azerbaijan,32157,454,26474
Algeria,30950,1223,20988
Ireland,26109,1763,23364
Serbia,25882,582,14047
Moldova,25113,788,17571
Uzbekistan,25040,149,15299
Morocco,25015,367,17960
Kenya,21363,364,8419
Austria,21212,718,18911
Nepal,20086,56,14492
Venezuela,19443,169,11129
Costa Rica,18187,154,4531
Ethiopia,17999,284,7195
Australia,17895,208,10204
El Salvador,17448,467,8634
Cameroon,17255,391,15320
Czechia,16699,383,11587
Ivory Coast,16109,102,11750
S. Korea,14366,301,13259
Denmark,13789,615,12578
Palestine,12160,83,5324
Bosnia and Herzegovina,11876,339,5959
Bulgaria,11836,385,6396
Sudan,11738,752,6137
Madagascar,11273,107,8109
North Macedonia,10891,493,6698
Senegal,10284,209,6822
Norway,9253,255,8752
DRC,9084,215,7030
Malaysia,8985,125,8647
French Guiana,7857,43,6531
Gabon,7531,50,5223
Haiti,7468,165,4606
Tajikistan,7451,60,6233
Finland,7443,329,6950
Guinea,7308,46,6458
Luxembourg,6793,116,5192
Mauritania,6319,157,5043
Zambia,6228,165,4130
Paraguay,5485,52,3786
Albania,5396,161,2961
Croatia,5224,145,4341
Djibouti,5084,58,4999
Equatorial Guinea,4821,83,2182
Lebanon,4730,61,1761
CAR,4614,59,1635
Greece,4587,206,1374
Hungary,4535,597,3389
Malawi,4186,120,1914
Maldives,3949,17,2613
Libya,3691,80,619
Nicaragua,3672,116,2492
Zimbabwe,3659,69,1011
Hong Kong,3398,33,1858
Thailand,3317,58,3142
Somalia,3212,93,1562
Congo,3200,54,829
Montenegro,3198,50,1293
Mayotte,2962,39,2721
Sri Lanka,2815,11,2439
Eswatini,2706,43,1214
Cuba,2633,87,2367
Mali,2535,124,1937
Cabo Verde,2480,24,1837
South Sudan,2352,46,1175
Slovakia,2337,29,1742
Namibia,2224,11,171
Slovenia,2171,119,1821
Lithuania,2093,80,1644
Estonia,2079,69,1934
Rwanda,2042,5,1119
Guinea-Bissau,1981,27,803
Mozambique,1907,12,645
Iceland,1893,10,1825
Sierra Leone,1823,67,1362
Benin,1805,36,1036
Suriname,1760,26,1161
Yemen,1730,494,862
New Zealand,1565,22,1518
Tunisia,1552,51,1217
Uruguay,1278,35,1004
Latvia,1243,32,1052
Jordan,1208,11,1094
Liberia,1189,75,673
Georgia,1177,17,955
Uganda,1176,4,1045
Angola,1164,54,460
Burkina Faso,1143,53,935
Niger,1136,69,1028
Cyprus,1124,19,852
Togo,958,19,647
Chad,936,75,813
Andorra,925,52,807
Jamaica,883,10,743
Sao Tome and Principe,874,15,782
Malta,845,9,665
Botswana,804,2,63
Syria,780,43,237
Diamond Princess,712,13,651
Lesotho,702,14,171
San Marino,699,42,657
Réunion,664,4,592
Bahamas,599,14,91
Vietnam,590,5,373
Channel Islands,587,47,533
Tanzania,509,21,183
Gambia,498,9,68
Taiwan,475,7,441
Guyana,430,20,185
Burundi,395,1,304
Comoros,386,7,330
Myanmar,353,6,297
Mauritius,344,10,332
Isle of Man,336,24,312
Mongolia,293,NA,230
Eritrea,279,NA,225
Martinique,269,15,98
Guadeloupe,265,14,179
Cambodia,240,NA,196
Faeroe Islands,225,NA,189
Cayman Islands,203,1,202
Gibraltar,188,NA,182
Trinidad and Tobago,173,8,132
Bermuda,156,9,141
Brunei,141,3,138
Sint Maarten,128,15,64
Barbados,122,7,98
Aruba,121,3,105
Monaco,120,4,105
Turks and Caicos,114,2,38
Seychelles,114,NA,39
Bhutan,102,NA,89
Antigua and Barbuda,91,3,67
Papua New Guinea,91,2,34
Liechtenstein,88,1,85
French Polynesia,62,NA,62
Belize,56,2,30
St. Vincent Grenadines,54,NA,44
Saint Martin,53,3,41
Macao,46,NA,46
Curaçao,29,1,24
Fiji,27,1,18
Saint Lucia,25,NA,22
Grenada,24,NA,23
Timor-Leste,24,NA,24
New Caledonia,22,NA,22
Laos,20,NA,19
Dominica,18,NA,18
Saint Kitts and Nevis,17,NA,16
Greenland,14,NA,13
Caribbean Netherlands,13,NA,7
Falkland Islands,13,NA,13
Montserrat,12,1,10
Vatican City,12,NA,12
Western Sahara,10,1,8
MS Zaandam,9,2,NA
St. Barth,9,NA,6
British Virgin Islands,8,1,7
Saint Pierre Miquelon,4,NA,1
Anguilla,3,NA,3
China,84385,4634,79003
Total:,5599647,221358,2895294
Total:,4192732,145628,2836590
Total:,4379720,98130,3242370
Total:,2892778,203688,1745884
Total:,948730,20018,606320
Total:,19662,233,11858
Total:,721,15,651
Total:,18033990,689070,11338967
