region,cases,deaths,recovered
USA,5038269,162875,2579191
Brazil,2917562,98644,2047660
India,2057816,42026,1402076
Russia,877135,14725,683592
South Africa,538184,9604,387316
Mexico,462690,50517,308848
Peru,455409,20424,310337
Chile,366671,9889,340168
Colombia,357710,11939,192355
Spain,354530,28500,N/A
Iran,322567,18132,279724
UK,308134,46413,N/A
Saudi Arabia,285793,3093,248948
Pakistan,282645,6052,258099
Bangladesh,252502,3333,145584
Italy,249204,35187,201323
Turkey,237265,5798,220546
Argentina,228195,4251,99852
Germany,215604,9252,196200
France,195633,30312,82460
Iraq,144064,5236,103197
Philippines,122754,2168,66852
Indonesia,121226,5593,77557
Canada,118561,8966,103106
Qatar,112383,180,109142
Kazakhstan,96922,1058,70680
Egypt,95006,4951,48898
Ecuador,90537,5877,71318
Bolivia,86423,3465,27373
Sweden,82323,5763,N/A
Oman,81067,502,72263
Israel,80431,578,55274
Ukraine,78261,1852,43055
Dominican Republic,77709,1259,41393
Belgium,72016,9861,17700
Panama,71418,1574,45658
Kuwait,70727,471,62330
Belarus,68614,583,64200
UAE,62061,356,56015
Romania,59273,2616,29289
Netherlands,57501,6154,N/A
Guatemala,55270,2168,43135
Singapore,54797,27,48312
Portugal,52351,1746,38087
Poland,50324,1787,36041
Honduras,45755,1446,6225
Nigeria,45244,930,32430
Bahrain,42889,158,39945
Japan,42263,1026,28877
Ghana,40097,206,36638
Armenia,39985,777,32008
Kyrgyzstan,39162,1451,30764
Afghanistan,37015,1307,25903
Switzerland,36269,1986,31600
Algeria,33626,1273,23238
Azerbaijan,33376,483,29696
Morocco,29644,449,20553
Uzbekistan,28809,179,19587
Serbia,27608,626,14047
Moldova,26990,835,18918
Ireland,26372,1768,23364
Kenya,24411,399,10444
Venezuela,23280,202,12470
Nepal,22214,70,15814
Austria,21837,720,19690
Costa Rica,21070,200,7038
Ethiopia,20900,365,9027
Australia,20272,266,11147
El Salvador,19544,520,9379
Czechia,17731,390,12320
Cameroon,17718,391,15320
Ivory Coast,16447,103,12484
S. Korea,14519,303,13543
