region,cases,deaths,recovered
USA,7172572,207262,4418260
India,5816103,92317,4752991
Brazil,4634468,139294,3992886
Russia,1128836,19948,929829
Colombia,784268,24746,662277
Peru,782695,31870,636489
Mexico,710049,74949,510237
Spain,704209,31118,N/A
South Africa,667049,16283,595916
Argentina,664799,14376,525486
France,497237,31511,94413
Chile,451634,12469,426876
Iran,436319,25015,367829
UK,416363,41902,N/A
Bangladesh,355384,5072,265092
Iraq,337106,8799,268761
Saudi Arabia,331857,4599,314793
Turkey,309790,7785,271964
Pakistan,308217,6437,294392
Italy,304323,35781,221762
Philippines,296755,5127,231928
Germany,281345,9519,249500
Indonesia,262022,10105,191853
Israel,212115,1378,148813
Ukraine,188106,3757,83458
Canada,148788,9246,128344
Bolivia,131990,7731,91556
Ecuador,131146,11213,102852
Qatar,124425,212,121263
Romania,118054,4591,94877
Dominican Republic,110122,2076,84018
Morocco,110099,1956,90186
Panama,107990,2291,84437
Kazakhstan,107529,1699,102323
Belgium,106887,9959,19079
Netherlands,103141,6312,N/A
Egypt,102375,5822,91843
Kuwait,101851,592,92961
Oman,95907,885,86765
Sweden,90289,5878,N/A
UAE,88532,407,77937
Guatemala,87933,3170,77125
Poland,82809,2369,66158
Japan,79768,1512,71981
Belarus,76651,802,73733
Honduras,72675,2222,24022
Ethiopia,71687,1148,29461
Portugal,71156,1931,46676
Costa Rica,69459,795,26554
Venezuela,69439,574,58759
Nepal,69301,453,50411
Bahrain,67014,231,60117
Nigeria,57724,1102,48985
Singapore,57654,27,57333
Czechia,56747,567,27247
Uzbekistan,53834,446,50230
Switzerland,51492,2061,42300
Algeria,50579,1703,35544
Moldova,48953,1252,36643
Armenia,48251,945,43266
Ghana,46153,299,45299
Kyrgyzstan,45757,1063,42005
Austria,40816,783,31661
Azerbaijan,39686,581,37255
Afghanistan,39170,1451,32619
Palestine,37591,274,26934
Kenya,37489,669,24334
Paraguay,35571,727,19867
Ireland,33994,1797,23364
Serbia,33163,745,31536
Lebanon,32819,329,14112
Libya,30632,474,16842
El Salvador,28201,823,22326
Australia,26980,861,24448
Bosnia and Herzegovina,26316,802,19142
Denmark,24916,645,18646
S. Korea,23341,393,20832
Hungary,21200,709,4818
Cameroon,20712,418,19440
Ivory Coast,19501,120,19003
Bulgaria,19283,779,13867
North Macedonia,17200,712,14312
Greece,16627,366,9989
Madagascar,16191,227,14833
Croatia,15572,261,14111
Senegal,14816,304,11818
Zambia,14491,332,13643
Sudan,13592,836,6764
Norway,13347,270,10371
Tunisia,13305,180,5032
Albania,12921,370,7239
Namibia,10740,119,8482
Malaysia,10576,133,9666
DRC,10555,271,10051
Guinea,10434,65,9801
Maldives,9885,34,8530
French Guiana,9790,65,9456
Montenegro,9717,154,5917
Tajikistan,9520,74,8296
Finland,9379,343,7850
Gabon,8716,54,7906
Haiti,8668,227,6551
Myanmar,8344,150,2381
Luxembourg,8158,124,6910
Zimbabwe,7725,227,6007
Slovakia,7629,41,3978
Mauritania,7425,161,7028
Mozambique,7399,51,4558
Uganda,7064,70,3226
Jordan,6591,36,3937
Malawi,5747,179,4163
Jamaica,5588,77,1490
Cabo Verde,5479,55,4917
Djibouti,5407,61,5339
Eswatini,5375,108,4724
Cuba,5270,118,4582
Nicaragua,5073,149,2913
Hong Kong,5057,104,4758
Equatorial Guinea,5018,83,4509
Congo,5005,89,3887
Slovenia,4816,145,3245
CAR,4802,62,1830
Rwanda,4789,27,3050
Suriname,4779,101,4560
Guadeloupe,4487,42,2199
Georgia,4399,26,1705
Angola,4363,159,1473
Trinidad and Tobago,4222,67,2037
Lithuania,4070,89,2253
Syria,3924,181,998
Aruba,3756,25,2664
Bahamas,3618,80,1915
Gambia,3552,110,2012
