region,cases,deaths,recovered
USA,6741518,198848,4012947
India,4926914,80808,3856246
Brazil,4335066,131736,3573958
Russia,1068320,18635,878700
Peru,729619,30710,566796
Colombia,716319,22924,599385
Mexico,668381,70821,471623
South Africa,649793,15447,577906
Spain,593730,29848,N/A
Argentina,555537,11412,428953
Chile,436433,12013,407725
Iran,404648,23313,348013
France,387252,30950,89507
UK,371125,41637,N/A
Bangladesh,339332,4759,243155
Saudi Arabia,326258,4305,303930
Pakistan,302020,6383,289806
Iraq,294478,8086,229132
Turkey,292878,7119,260058
Italy,288761,35624,213950
Philippines,265888,4630,207504
Germany,263210,9435,235700
Indonesia,221523,8841,158405
Israel,160368,1136,118570
Ukraine,156797,3211,69543
Canada,136972,9172,120564
Bolivia,126791,7344,84286
Qatar,121975,207,118931
Ecuador,118911,10922,97063
Kazakhstan,106855,1634,100627
Romania,104187,4185,43244
Dominican Republic,104110,1984,77790
Panama,101745,2166,74107
Egypt,101009,5648,84161
Kuwait,95472,563,85501
Belgium,93455,9925,18723
Oman,90222,790,83928
Morocco,88203,1614,68970
Sweden,86505,5846,N/A
Netherlands,83399,6256,N/A
Guatemala,81909,2957,70927
UAE,80266,399,69981
Japan,75218,1439,66899
Poland,74529,2203,61097
Belarus,74360,756,72609
Honduras,67789,2079,17873
Ethiopia,64786,1022,25333
Portugal,64596,1871,44185
Venezuela,60540,485,48644
Bahrain,60307,212,53681
Singapore,57454,27,56802
Costa Rica,57361,621,21206
Nigeria,56256,1082,44152
Nepal,55329,360,39576
Algeria,48496,1620,34204
Uzbekistan,47836,396,44375
Switzerland,47436,2025,39600
Armenia,45969,919,41693
Ghana,45434,286,44342
Kyrgyzstan,44928,1063,41023
Moldova,43207,1129,30437
Afghanistan,38772,1425,32073
Azerbaijan,38403,564,35860
Czechia,36722,465,22020
Kenya,36157,622,23067
Austria,33541,757,27010
Serbia,32437,733,31285
Palestine,31362,226,21406
Ireland,31192,1784,23364
Paraguay,27817,525,14288
El Salvador,27009,788,18924
Australia,26692,816,23578
Lebanon,24857,246,8765
Bosnia and Herzegovina,23635,705,16166
Libya,23515,368,12762
S. Korea,22285,363,18489
Denmark,20237,633,16437
Cameroon,20167,415,18837
Ivory Coast,19066,120,18174
Bulgaria,17918,720,12767
North Macedonia,15827,652,13315
Madagascar,15769,213,14411
Senegal,14306,297,10563
Zambia,13720,320,12380
Croatia,13598,227,11151
Sudan,13535,836,6759
Greece,13420,310,3804
Hungary,13153,642,4117
Norway,12219,265,10371
Albania,11520,338,6615
DRC,10390,264,9756
Guinea,10061,63,9352
Malaysia,9946,128,9203
Namibia,9818,103,6693
French Guiana,9552,63,9156
Maldives,9173,32,7326
Tajikistan,9088,72,7853
Gabon,8643,53,7706
Finland,8627,337,7500
Haiti,8499,219,6120
Zimbabwe,7526,224,5678
Mauritania,7295,161,6835
Luxembourg,7238,124,6397
Montenegro,6712,120,4507
Tunisia,6635,107,1991
Malawi,5690,177,3731
Slovakia,5580,38,3129
Mozambique,5482,35,3024
Djibouti,5396,61,5331
Eswatini,5075,98,4229
Equatorial Guinea,4996,83,4490
Uganda,4978,56,2317
Hong Kong,4972,101,4635
Congo,4928,88,3887
Cabo Verde,4839,45,4240
Nicaragua,4818,144,2913
CAR,4749,62,1825
Cuba,4684,108,3930
Rwanda,4602,22,2736
Suriname,4582,93,3850
Jamaica,3771,42,1149
Slovenia,3749,135,2730
Syria,3576,157,858
Jordan,3528,26,2255
Thailand,3475,58,3312
Gambia,3405,103,1723
Somalia,3389,98,2803
Angola,3388,134,1301
Lithuania,3386,87,2071
Mayotte,3374,40,2964
Sri Lanka,3262,13,3005
Myanmar,3195,32,790
Trinidad and Tobago,3091,54,787
Guadeloupe,3080,24,837
Aruba,3060,20,1566
Bahamas,2974,67,1344
Mali,2935,128,2289
Réunion,2872,15,1313
Estonia,2698,64,2256
South Sudan,2587,49,1290
Botswana,2463,10,575
Malta,2405,16,1890
Georgia,2392,19,1369
Guinea-Bissau,2275,39,1127
Benin,2267,40,1942
Iceland,2168,10,2095
Sierra Leone,2109,72,1636
Yemen,2011,583,1212
Guyana,1853,56,1215
Uruguay,1808,45,1513
New Zealand,1798,24,1678
Burkina Faso,1707,56,1135
Togo,1578,40,1204
Cyprus,1526,22,1281
Belize,1480,19,492
Latvia,1477,35,1248
Andorra,1438,53,945
Liberia,1321,82,1213
Lesotho,1245,33,528
Niger,1180,69,1104
Chad,1084,80,938
Vietnam,1063,35,918
French Polynesia,953,2,642
Martinique,939,18,98
Sao Tome and Principe,906,15,870
San Marino,722,42,662
Diamond Princess,712,13,651
