region,cases,deaths,recovered
USA,6676601,198128,3950354
India,4754356,78614,3702595
Brazil,4315858,131274,3553421
Russia,1057362,18484,873535
Peru,722832,30593,559321
Colombia,708964,22734,592820
Mexico,663973,70604,467525
South Africa,648214,15427,576423
Spain,576697,29747,N/A
Argentina,546481,11263,409771
Chile,432666,11895,404919
Iran,399940,23029,344516
France,373911,30910,89059
UK,365174,41623,N/A
Bangladesh,336044,4702,238271
Saudi Arabia,325050,4240,301836
Pakistan,301481,6379,289429
Turkey,289635,6999,257731
Iraq,286778,7941,221283
Italy,286297,35603,213191
Germany,260546,9427,235300
Philippines,257863,4292,187116
Indonesia,214746,8650,152458
Israel,152722,1103,113496
Ukraine,151859,3148,68346
Canada,136141,9170,120075
Bolivia,125982,7297,82796
Qatar,121523,205,118475
Ecuador,116451,10864,91242
Kazakhstan,106803,1634,100615
Dominican Republic,103092,1953,76531
Romania,102386,4127,42811
Panama,101041,2155,73476
Egypt,100856,5627,83261
Kuwait,94211,558,84404
Belgium,92478,9923,18709
Oman,88337,762,83325
Sweden,86505,5846,N/A
Morocco,84435,1553,65867
Guatemala,81658,2949,70403
Netherlands,81012,6253,N/A
UAE,78849,399,68983
Japan,74544,1423,66280
Belarus,73975,744,72547
Poland,73650,2182,59725
Honduras,67136,2065,17760
Ethiopia,63888,996,24493
Portugal,63310,1860,43894
Venezuela,59630,477,47729
Bahrain,59586,211,53192
Singapore,57357,27,56699
Nigeria,56177,1078,44088
Costa Rica,55454,590,20928
Nepal,53120,336,37524
Algeria,48007,1605,33875
Uzbekistan,46850,386,43511
Switzerland,46704,2020,38500
Armenia,45675,911,41605
Ghana,45434,286,44342
Kyrgyzstan,44828,1063,40779
Moldova,42714,1117,30437
Afghanistan,38641,1420,31234
Azerbaijan,38172,559,35607
Kenya,35969,619,22771
Czechia,35401,453,21205
Austria,32696,754,26579
Serbia,32300,731,31100
Ireland,30730,1783,23364
Palestine,29906,210,19979
Paraguay,27324,514,13679
El Salvador,26851,782,17874
Australia,26651,810,23340
Lebanon,23669,239,7936
Bosnia and Herzegovina,23138,690,15922
Libya,22348,354,12100
S. Korea,22176,358,18226
Cameroon,20009,415,18837
Denmark,19557,630,16247
Ivory Coast,18916,119,17960
Bulgaria,17891,717,12758
Madagascar,15737,210,14349
North Macedonia,15694,646,13128
Senegal,14237,295,10373
Sudan,13470,834,6731
Zambia,13466,312,12007
Croatia,13368,218,10721
Greece,13036,302,3804
Norway,12079,265,10371
Hungary,11825,633,4058
Albania,11185,330,6494
DRC,10385,262,9719
Guinea,10020,63,9251
Malaysia,9868,128,9189
Namibia,9604,98,5811
French Guiana,9521,63,9132
Maldives,9052,31,7055
Tajikistan,9014,72,7782
Gabon,8643,53,7706
Finland,8557,337,7500
Haiti,8478,219,6120
Zimbabwe,7508,224,5675
Mauritania,7274,161,6804
Luxembourg,7194,124,6397
Tunisia,6635,107,1991
Montenegro,6530,118,4491
Malawi,5678,177,3724
Slovakia,5453,38,3114
Djibouti,5394,61,5327
Eswatini,5050,98,4188
Mozambique,5040,35,2905
Equatorial Guinea,4996,83,4490
Hong Kong,4939,100,4613
Congo,4928,88,3887
Nicaragua,4818,144,2913
CAR,4749,62,1825
Cabo Verde,4711,44,4104
Uganda,4703,52,1998
Cuba,4653,108,3878
Suriname,4579,93,3788
Rwanda,4565,22,2544
Jamaica,3623,40,1072
Slovenia,3603,135,2699
Syria,3506,152,827
Thailand,3473,58,3312
Gambia,3376,102,1617
Somalia,3376,98,2791
Mayotte,3374,40,2964
Angola,3335,132,1289
Lithuania,3296,86,2070
Sri Lanka,3195,12,2983
Guadeloupe,3080,24,837
Jordan,3062,22,2156
Aruba,2994,18,1542
Trinidad and Tobago,2993,51,766
Bahamas,2928,67,1319
Mali,2916,128,2276
Myanmar,2796,16,676
Réunion,2723,14,1313
Estonia,2655,64,2252
South Sudan,2578,49,1290
Guinea-Bissau,2275,39,1127
Malta,2274,15,1850
Botswana,2252,10,546
Benin,2242,40,1793
Iceland,2162,10,2085
Sierra Leone,2096,72,1634
Georgia,2075,19,1363
Yemen,2009,582,1211
Guyana,1812,54,1191
New Zealand,1797,24,1676
Uruguay,1780,45,1502
Togo,1555,37,1189
Cyprus,1523,22,1281
Burkina Faso,1514,56,1127
Latvia,1464,35,1248
Belize,1458,19,458
Andorra,1344,53,943
Liberia,1316,82,1210
Lesotho,1245,33,528
Niger,1178,69,1100
Chad,1083,80,938
Vietnam,1060,35,910
French Polynesia,953,2,642
Martinique,939,18,98
Sao Tome and Principe,906,15,866
San Marino,722,42,662
Diamond Princess,712,13,651
Turks and Caicos,641,5,270
Channel Islands,633,48,575
Sint Maarten,533,19,430
Tanzania,509,21,183
Papua New Guinea,508,5,232
Taiwan,498,7,475
Burundi,471,1,374
Comoros,456,7,415
Faeroe Islands,418,NA,410
Mauritius,361,10,335
Eritrea,361,NA,304
Isle of Man,337,24,312
Gibraltar,327,NA,294
Mongolia,311,NA,298
Cambodia,275,NA,274
Saint Martin,256,6,107
Bhutan,244,NA,159
Cayman Islands,208,1,204
Barbados,180,7,158
Bermuda,177,9,161
Monaco,169,1,123
Brunei,145,3,139
Curaçao,145,1,56
Seychelles,139,NA,136
Liechtenstein,111,1,105
Antigua and Barbuda,95,3,91
British Virgin Islands,66,1,37
St. Vincent Grenadines,64,NA,61
Macao,46,NA,46
Fiji,32,2,24
Saint Lucia,27,NA,26
Timor-Leste,27,NA,25
New Caledonia,26,NA,26
Caribbean Netherlands,25,NA,7
Dominica,24,NA,18
Grenada,24,NA,24
Laos,23,NA,21
St. Barth,21,NA,13
Saint Kitts and Nevis,17,NA,17
Greenland,14,NA,14
Montserrat,13,1,11
Falkland Islands,13,NA,13
Vatican City,12,NA,12
Saint Pierre Miquelon,11,NA,5
Western Sahara,10,1,8
MS Zaandam,9,2,NA
Anguilla,3,NA,3
China,85184,4634,80399
Total:,7950455,289157,4835642
Total:,8485187,162543,6842299
Total:,7073893,227166,5771324
Total:,4050741,212297,2238829
Total:,1352693,32556,1096779
Total:,29967,843,25940
Total:,721,15,651
Total:,28943657,924577,20811464
