region,cases,deaths,recovered
USA,5768900,177831,3103348
Brazil,3513039,112670,2653407
India,2973317,55928,2218306
Russia,946976,16189,761330
South Africa,599940,12618,497169
Peru,567059,27034,380730
Mexico,543806,59106,371638
Colombia,513719,16183,339124
Spain,407879,28838,N/A
Chile,393769,10723,367897
Iran,354764,20376,305866
UK,323313,41405,N/A
Argentina,320884,6567,239806
Saudi Arabia,305186,3580,277067
Pakistan,291588,6219,273579
Bangladesh,290360,3861,172615
Italy,257065,35427,204960
Turkey,255723,6080,235569
France,234400,30503,84642
Germany,231426,9325,205800
Iraq,197085,6283,140446
Philippines,182365,2940,114519
Indonesia,149408,6500,102991
Canada,124099,9060,110484
Qatar,116481,193,113216
Ecuador,106481,6248,87730
Bolivia,106065,4305,41111
Kazakhstan,104071,1415,87920
Israel,100716,809,77785
Ukraine,100643,2207,51078
Egypt,97025,5212,63462
Dominican Republic,89867,1533,59132
Sweden,86068,5810,N/A
Panama,83855,1844,59174
Oman,83769,609,78386
Belgium,80178,9976,18131
Kuwait,79269,511,71264
Romania,76355,3196,34523
Belarus,70111,632,68256
Guatemala,66941,2532,55314
UAE,66193,370,58296
Netherlands,65589,6195,N/A
Poland,60281,1938,41029
Japan,58501,1144,45266
Singapore,56216,27,53651
Portugal,55211,1792,40473
Honduras,52819,1619,8082
Nigeria,50964,992,37569
Morocco,49247,817,34199
Bahrain,48303,181,44628
Ghana,43260,261,41276
Kyrgyzstan,42703,1498,35831
Armenia,42477,842,35693
Algeria,40667,1418,28587
Switzerland,39332,2000,33900
Uzbekistan,37946,258,33809
Afghanistan,37894,1385,28016
Ethiopia,37665,637,13913
Venezuela,37567,311,26330
Azerbaijan,34921,512,32682
Moldova,32484,929,22683
Kenya,31763,532,18157
Costa Rica,31075,333,9939
Nepal,30483,137,18214
Serbia,30378,692,28275
Ireland,27755,1776,23364
Austria,24762,730,21260
Australia,24407,472,18460
El Salvador,24200,646,11781
Czechia,21388,410,16040
Cameroon,18762,408,16540
Palestine,18313,121,11102
Bosnia and Herzegovina,17396,526,11157
Ivory Coast,17249,112,14611
S. Korea,16670,309,14120
Denmark,16127,621,13944
Bulgaria,14962,532,10087
Madagascar,14218,178,13206
North Macedonia,13308,557,9977
Senegal,12689,262,8165
Sudan,12623,812,6476
Paraguay,11817,170,6783
Lebanon,11580,116,3204
Zambia,10627,277,9126
Norway,10253,264,9150
DRC,9802,248,8920
Libya,9707,173,1047
Malaysia,9249,125,8945
Guinea,8876,53,7628
French Guiana,8743,54,8189
Gabon,8319,53,6614
Tajikistan,8241,66,7040
Greece,8138,238,3804
Albania,8119,240,4096
Haiti,7997,196,5447
Finland,7871,334,7100
Luxembourg,7637,124,6903
Croatia,7594,169,5584
Mauritania,6848,158,6123
Maldives,6564,26,4012
Zimbabwe,5745,151,4525
Djibouti,5382,60,5233
Malawi,5282,165,2883
Namibia,5227,42,2457
Hungary,5098,611,3681
Equatorial Guinea,4892,83,2713
CAR,4679,61,1755
Hong Kong,4632,75,3900
Nicaragua,4311,133,2913
Montenegro,4229,81,3186
Eswatini,4128,81,2682
Congo,3850,77,1625
Cuba,3582,89,2951
Thailand,3390,58,3219
Cabo Verde,3368,37,2462
Suriname,3366,55,2383
Somalia,3265,93,2396
Slovakia,3225,33,2045
Mozambique,3195,20,1406
Mayotte,3160,39,2964
Sri Lanka,2941,11,2789
Rwanda,2717,11,1705
Mali,2667,125,1993
Slovenia,2574,130,2079
Lithuania,2564,83,1755
Tunisia,2543,63,1397
South Sudan,2497,47,1290
Gambia,2401,81,435
Estonia,2244,63,2011
Guinea-Bissau,2149,33,1015
Benin,2095,39,1705
Iceland,2050,10,1920
Angola,2044,93,742
Syria,2008,82,460
Sierra Leone,1972,69,1542
Yemen,1899,541,1058
Uganda,1848,19,1199
New Zealand,1665,22,1538
Bahamas,1610,23,211
Malta,1546,10,854
Jordan,1532,11,1262
Uruguay,1506,41,1242
Cyprus,1406,20,878
Aruba,1387,6,277
Georgia,1385,17,1128
Latvia,1330,33,1093
Botswana,1308,3,136
Burkina Faso,1297,55,1034
Jamaica,1290,15,788
Liberia,1284,82,803
Togo,1212,27,878
Niger,1169,69,1082
Réunion,1075,5,692
Andorra,1045,53,875
Lesotho,1015,30,472
Vietnam,1009,25,545
Chad,981,76,869
Sao Tome and Principe,888,15,829
