region,cases,deaths,recovered
USA,6636266,197421,3917962
India,4659984,77506,3624196
Brazil,4283978,130474,3530655
Russia,1057362,18484,873535
Peru,716670,30470,552214
Colombia,702088,22518,582694
Mexico,658299,70183,463764
South Africa,646398,15378,574587
Spain,576697,29747,N/A
Argentina,535705,11148,400121
Chile,430535,11850,403064
Iran,397801,22913,342539
France,363350,30893,89059
UK,361677,41614,N/A
Bangladesh,334762,4668,236024
Saudi Arabia,324407,4213,300933
Pakistan,300955,6373,288536
Turkey,288126,6951,256524
Italy,284796,35597,212432
Iraq,282672,7881,217396
Germany,259725,9423,234850
Philippines,252964,4108,186606
Indonesia,210940,8544,150217
Ukraine,151859,3148,68346
Israel,148564,1090,111728
Canada,135626,9163,119674
Bolivia,125172,7250,81240
Qatar,121287,205,118199
Ecuador,114732,10836,91242
Kazakhstan,106729,1634,100409
Dominican Republic,102232,1941,75747
Romania,101075,4100,41010
Egypt,100708,5607,82473
Panama,100330,2140,72858
Kuwait,93475,557,83660
Belgium,91537,9919,18689
Oman,88337,762,83325
Sweden,86505,5846,N/A
Morocco,82197,1524,64194
Guatemala,81009,2929,69703
Netherlands,79781,6252,N/A
UAE,77842,398,68462
Japan,73901,1412,65590
Belarus,73784,738,72369
Poland,73047,2169,58848
Honduras,66049,2058,16613
Ethiopia,63367,986,24024
Portugal,62813,1855,43644
Bahrain,58839,210,52776
Venezuela,58663,468,46960
Singapore,57315,27,56607
Nigeria,56017,1076,43998
Costa Rica,53969,583,20710
Nepal,51919,322,36672
Algeria,47752,1599,33723
Uzbekistan,46498,382,43023
Switzerland,46239,2020,38100
Armenia,45675,911,41605
Ghana,45388,285,44267
Kyrgyzstan,44828,1063,40779
Moldova,42183,1114,30437
Afghanistan,38641,1420,31234
Azerbaijan,38037,557,35440
Kenya,35793,616,22442
Czechia,33860,450,21140
Serbia,32228,730,31100
Austria,31827,750,26257
Ireland,30571,1781,23364
Palestine,29256,204,19788
El Salvador,26851,782,17874
Australia,26607,803,23329
Paraguay,26512,496,13181
Lebanon,22983,229,7312
Bosnia and Herzegovina,22834,686,15672
S. Korea,22055,355,18029
Libya,21908,352,2506
Cameroon,20009,415,18837
Denmark,19216,629,16139
Ivory Coast,18916,119,17960
Bulgaria,17799,713,12750
Madagascar,15669,209,14320
North Macedonia,15555,642,12994
Senegal,14193,293,10350
Sudan,13470,834,6731
Zambia,13323,306,11899
Croatia,13107,211,10466
Greece,12734,300,3804
Norway,12003,265,10371
Hungary,11825,633,4058
Albania,11021,327,6443
DRC,10361,262,9622
Guinea,9979,63,9189
Malaysia,9810,128,9181
French Guiana,9494,63,9078
Namibia,9437,98,4898
Maldives,8990,31,6846
Tajikistan,8977,72,7747
Gabon,8643,53,7706
Finland,8512,337,7500
Haiti,8457,216,6120
Zimbabwe,7479,224,5660
Mauritania,7266,161,6786
Luxembourg,7159,124,6397
Montenegro,6385,115,4460
Tunisia,6259,103,1956
Malawi,5669,177,3720
Djibouti,5394,61,5327
Slovakia,5252,37,3081
Eswatini,5025,98,4165
Equatorial Guinea,4996,83,4490
Congo,4928,88,3887
Hong Kong,4926,99,4597
Mozambique,4918,31,2899
Nicaragua,4818,144,2913
CAR,4749,62,1825
Cabo Verde,4651,44,4076
Cuba,4593,106,3844
Rwanda,4534,22,2450
Suriname,4529,93,3747
Uganda,4377,49,1998
Jamaica,3511,40,1019
Slovenia,3497,135,2662
Syria,3476,150,812
