region,cases,deaths,recovered
USA,5874358,180605,3167164
Brazil,3605783,114772,2709638
India,3110761,57715,2338899
Russia,961493,16448,773095
South Africa,609773,13059,506470
Peru,594326,27663,399357
Mexico,560164,60480,383872
Colombia,541147,17316,374030
Spain,407879,28838,N/A
Chile,397665,10852,371179
Iran,361150,20776,311365
Argentina,342154,6985,251400
UK,325642,41429,N/A
Saudi Arabia,307479,3649,280143
Bangladesh,297083,3983,182875
Pakistan,293261,6244,276829
Italy,259345,35437,205470
Turkey,258249,6121,237165
France,242899,30513,84973
Germany,234637,9332,209600
Iraq,204341,6428,146409
Philippines,194252,3010,132042
Indonesia,155412,6759,111060
Canada,124896,9073,111112
Qatar,117266,194,114099
Bolivia,109149,4509,45396
Ecuador,107769,6310,94816
Ukraine,106754,2293,54524
Kazakhstan,104718,1415,92598
Israel,103274,839,80521
Egypt,97340,5262,65927
Dominican Republic,91161,1567,60670
Panama,86900,1892,61420
Sweden,86068,5810,N/A
Oman,84509,637,78912
Belgium,81936,9992,18225
Kuwait,80528,515,72307
Romania,79330,3309,35517
Belarus,70645,646,68925
Guatemala,68188,2594,56778
UAE,67282,376,58582
Netherlands,66554,6200,N/A
Poland,62310,1960,42448
Japan,61747,1176,48550
Singapore,56404,27,54164
Portugal,55597,1796,40774
Honduras,54511,1654,8532
Morocco,52349,888,36343
Nigeria,52227,1002,38945
Bahrain,49330,184,45981
Ghana,43505,261,41532
Kyrgyzstan,43126,1057,36615
Armenia,42825,854,36049
Algeria,41460,1435,29142
Ethiopia,40671,678,14995
Switzerland,40060,2001,34400
Venezuela,39564,329,29966
Uzbekistan,39065,275,34987
Afghanistan,38054,1389,28360
Azerbaijan,35274,518,32993
Costa Rica,33820,355,10518
Moldova,33478,940,22683
Nepal,32678,157,18806
Kenya,32364,548,18670
Serbia,30657,698,28275
Ireland,27969,1777,23364
Austria,25495,733,21657
Australia,24916,517,19603
El Salvador,24811,669,12492
Czechia,21923,412,16125
Palestine,19213,130,11870
Cameroon,18762,408,16540
Bosnia and Herzegovina,18029,547,11861
S. Korea,17665,309,14219
Ivory Coast,17471,113,15301
Denmark,16317,622,14180
Bulgaria,15287,545,10338
Madagascar,14402,178,13436
North Macedonia,13595,564,10110
Paraguay,13233,205,7417
Senegal,13013,272,8595
Sudan,12836,815,6497
Lebanon,12698,123,3625
Zambia,11082,280,9942
Libya,11009,199,1096
Norway,10323,264,9150
DRC,9830,251,8934
Malaysia,9274,125,8965
Guinea,9013,54,7823
French Guiana,8797,55,8307
Greece,8664,242,3804
Albania,8427,250,4332
Gabon,8388,53,6734
Tajikistan,8311,66,7108
Croatia,8175,171,5801
Haiti,8082,196,5624
Finland,7938,335,7100
Luxembourg,7775,124,6969
Mauritania,6905,158,6232
Maldives,6779,26,4222
Zimbabwe,5930,155,4872
Namibia,5854,52,2509
Malawi,5414,168,3012
Djibouti,5382,60,5254
Hungary,5191,613,3695
Equatorial Guinea,4926,83,3795
Hong Kong,4692,77,4052
CAR,4679,61,1755
Montenegro,4343,84,3356
Nicaragua,4311,133,2913
